
Loading model - my_ssd_resnet152_v1_fpn_640x640_coco17_tpu-8... 
The model has been loaded - 0.34s

Cars0.jpg...  || Detection time: 33.26s || OCR time: 2.51s || []
Cars1.jpg...  || Detection time: 5.63s || OCR time: 2.17s || []
Cars10.jpg...  || Detection time: 5.86s || OCR time: 2.27s || []
Cars11.jpg...  || Detection time: 4.99s || OCR time: 2.10s || []
Cars12.jpg...  || Detection time: 5.03s || OCR time: 2.59s || []
Cars13.jpg...  || Detection time: 5.04s || OCR time: 2.35s || []
Cars14.jpg...  || Detection time: 4.91s || OCR time: 2.50s || []
Cars15.jpg...  || Detection time: 5.52s || OCR time: 1.93s || []
Cars16.jpg...  || Detection time: 5.21s || OCR time: 2.44s || []
Cars17.jpg...  || Detection time: 5.78s || OCR time: 2.55s || []
Cars18.jpg...  || Detection time: 5.63s || OCR time: 2.66s || []
Cars2.jpg...  || Detection time: 5.86s || OCR time: 2.78s || []
Cars3.jpg...  || Detection time: 5.61s || OCR time: 2.35s || []
Cars4.jpg...  || Detection time: 6.41s || OCR time: 2.64s || []
Cars5.jpg...  || Detection time: 5.68s || OCR time: 3.99s || []
Cars6.jpg...  || Detection time: 5.26s || OCR time: 3.38s || []
Cars7.jpg...  || Detection time: 10.91s || OCR time: 3.93s || []
Cars8.jpg...  || Detection time: 4.99s || OCR time: 2.53s || []
Cars9.jpg...  || Detection time: 4.98s || OCR time: 2.40s || []
Number of images: 19 || Total time: 187.85s
